poi_number,group,route,net_worth
19312,Group 19,DCEBA,909
19313,Group 9,CADBE,223
19314,Group 9,EBADC,486
19315,Group 4,ACDBE,162
19316,Group 17,BAEDC,902
19317,Group 1,AEBDC,763
19318,Group 13,ABDCE,92
19319,Group 18,CABED,126
19320,Group 8,CBEDA,443
19321,Group 11,BCDEA,882
19322,Group 5,EACBD,847
19323,Group 4,EDCBA,477
19324,Group 4,CABED,535
19325,Group 19,DECAB,108
19326,Group 10,EDBAC,183
19327,Group 18,ACDEB,458
19328,Group 1,DEABC,77
19329,Group 19,CAEDB,452
19330,Group 15,DCAEB,852
19331,Group 12,BDCAE,893
19332,Group 1,ACBED,210
19333,Group 10,BCAED,449
19334,Group 13,DCAEB,862
19335,Group 8,CADEB,961
19336,Group 13,EDABC,301
19337,Group 9,DBCAE,979
19338,Group 3,ECBDA,824
19339,Group 6,BEDCA,879
19340,Group 3,BEDCA,121
19341,Group 20,ADCBE,262
19342,Group 20,DEABC,167
19343,Group 13,DEACB,865
19344,Group 17,CEBAD,824
19345,Group 13,CEDAB,332
19346,Group 10,BADEC,274
19347,Group 9,CEBDA,12
19348,Group 15,EACDB,984
19349,Group 14,AECDB,730
19350,Group 14,DBAEC,902
19351,Group 1,CABED,130
19352,Group 2,EABCD,350
19353,Group 9,DBAEC,713
19354,Group 3,ECABD,920
19355,Group 2,EACBD,364
19356,Group 18,DCBAE,550
19357,Group 3,ADBEC,865
19358,Group 11,BADEC,761
19359,Group 14,EDCBA,968
19360,Group 17,CDBAE,757
19361,Group 18,DACEB,892
19362,Group 6,DEACB,815
19363,Group 10,BCAED,702
19364,Group 6,CEADB,632
19365,Group 5,DEABC,481
19366,Group 13,ABECD,716
19367,Group 8,AEBCD,395
19368,Group 7,EADBC,5
19369,Group 1,ADBEC,374
19370,Group 15,BCAED,955
19371,Group 9,DCEBA,803
19372,Group 18,AEDCB,264
19373,Group 7,EADCB,627
19374,Group 17,EBACD,749
19375,Group 9,DCBAE,313
19376,Group 1,ADCEB,356
19377,Group 10,DCEAB,10
19378,Group 17,ABEDC,982
19379,Group 16,DBEAC,464
19380,Group 14,ACDBE,242
19381,Group 3,BEADC,405
19382,Group 8,BDCAE,844
19383,Group 7,DEBAC,858
19384,Group 7,ECDAB,68
19385,Group 6,DEACB,566
19386,Group 2,ADEBC,339
19387,Group 8,EADCB,694
19388,Group 4,BEACD,507
19389,Group 13,DCBEA,336
19390,Group 14,EBDAC,917
19391,Group 20,DACBE,663
19392,Group 16,CDBAE,504
19393,Group 9,CEADB,435
19394,Group 10,DBECA,202
19395,Group 6,ACEDB,527
19396,Group 15,DECAB,355
19397,Group 11,CBEAD,591
19398,Group 17,DAEBC,285
19399,Group 13,DABEC,775
19400,Group 7,EADBC,99
19401,Group 10,CBADE,564
19402,Group 11,BAECD,58
19403,Group 13,EBDAC,94
19404,Group 18,DAEBC,887
19405,Group 4,CADBE,462
19406,Group 6,DBCAE,842
19407,Group 13,BCAED,514
19408,Group 3,DEABC,117
19409,Group 9,ABCDE,913
19410,Group 17,CDBAE,582
19411,Group 5,ECABD,661
19412,Group 19,CBDEA,216
19413,Group 10,EACDB,801
19414,Group 8,DECBA,533
19415,Group 12,CABED,525
19416,Group 16,CBEAD,221
19417,Group 6,CDAEB,446
19418,Group 19,CDEAB,16
19419,Group 14,BAECD,744
19420,Group 13,EBADC,695
19421,Group 11,BEDCA,16
19422,Group 12,ADECB,928
19423,Group 6,DEACB,341
19424,Group 17,DABEC,606
19425,Group 7,AEBDC,343
19426,Group 1,BADEC,620
19427,Group 4,EACDB,557
19428,Group 11,CEDBA,26
19429,Group 3,ABCDE,826
19430,Group 13,BCDEA,968
19431,Group 16,BCDAE,941
19432,Group 4,AEBDC,760
19433,Group 11,EDBCA,680
19434,Group 9,EBCAD,798
19435,Group 6,ACDBE,546
19436,Group 16,CBADE,853
19437,Group 19,ABECD,945
19438,Group 6,AEDCB,305
19439,Group 1,BECAD,184
19440,Group 4,CBEAD,611
19441,Group 7,EBDCA,179
19442,Group 12,DBECA,491
19443,Group 18,DAEBC,658
19444,Group 2,CEADB,627
19445,Group 15,ABDEC,621
19446,Group 20,ECADB,84
19447,Group 18,EADCB,527
19448,Group 1,DEBCA,868
19449,Group 20,EBADC,324
19450,Group 11,BACDE,530
19451,Group 18,DABEC,929
19452,Group 16,ABEDC,393
19453,Group 9,DBECA,204
19454,Group 18,DBCAE,214
19455,Group 16,ACEBD,424
19456,Group 1,DCABE,812
19457,Group 12,CBEDA,949
19458,Group 5,CBDAE,208
19459,Group 7,EBDCA,692
19460,Group 8,CEBAD,488
19461,Group 3,ADECB,892
19462,Group 5,DACBE,464
19463,Group 3,DEBCA,603
19464,Group 14,BECAD,329
19465,Group 20,BDACE,488
19466,Group 20,CADBE,668
19467,Group 13,CABED,284
19468,Group 7,BADCE,353
19469,Group 14,ECBAD,661
19470,Group 2,DCEAB,549
19471,Group 3,BAECD,188
19472,Group 16,DAEBC,603
19473,Group 9,DACBE,507
19474,Group 17,ABECD,262
19475,Group 14,ECDBA,947
19476,Group 19,AECBD,130
19477,Group 18,EABDC,480
19478,Group 7,AEBDC,629
19479,Group 16,ACDEB,638
19480,Group 1,AEDCB,674
19481,Group 9,BCAED,474
19482,Group 7,EDACB,359
19483,Group 5,EBDAC,551
19484,Group 2,ADCBE,992
19485,Group 11,CABED,59
19486,Group 8,ABEDC,715
19487,Group 5,DCABE,407
19488,Group 14,ACDBE,894
19489,Group 15,EBCDA,72
19490,Group 3,CBDEA,365
19491,Group 15,EBCAD,929
19492,Group 4,DCBAE,494
19493,Group 7,EDACB,220
19494,Group 7,DBECA,906
19495,Group 16,BEDCA,360
19496,Group 19,BEDCA,899
19497,Group 20,DECBA,203
19498,Group 4,EBACD,684
19499,Group 16,CADBE,39
19500,Group 9,EDBCA,459
19501,Group 20,ECADB,935
19502,Group 11,AEBCD,180
19503,Group 19,BDACE,612
19504,Group 18,BCDEA,570
19505,Group 8,CADEB,370
19506,Group 12,EDBAC,54
19507,Group 3,AECBD,221
19508,Group 18,BACDE,325
19509,Group 5,BEACD,530
19510,Group 3,CABDE,411
19511,Group 12,BEACD,223
19512,Group 2,BAECD,77
19513,Group 10,ACBDE,184
19514,Group 18,CEDAB,22
19515,Group 6,BCDAE,726
19516,Group 8,ABDCE,573
19517,Group 5,DCAEB,177
19518,Group 18,EDACB,577
19519,Group 4,ECBDA,593
19520,Group 4,ADECB,817
19521,Group 11,CDBAE,138
19522,Group 15,CABED,87
19523,Group 6,CEDBA,663
19524,Group 18,EDBCA,407
19525,Group 4,DAEBC,147
19526,Group 8,DEBCA,797
19527,Group 9,ECABD,198
19528,Group 7,CBAED,761
19529,Group 10,BECAD,743
19530,Group 14,AEBDC,46
19531,Group 3,CDBAE,866
19532,Group 10,CDAEB,847
19533,Group 6,DAECB,743
19534,Group 14,DBCAE,756
19535,Group 4,EABDC,971
19536,Group 8,DCEBA,25
19537,Group 18,ECABD,177
19538,Group 1,ADEBC,416
19539,Group 17,DCAEB,624
19540,Group 20,BDACE,715
19541,Group 11,ECDAB,964
19542,Group 20,DCBEA,641
19543,Group 4,BCDEA,887
19544,Group 3,BECAD,838
19545,Group 10,CADEB,936
19546,Group 1,CBEAD,481
19547,Group 14,DABEC,200
19548,Group 1,ADECB,74
19549,Group 11,ECADB,192
19550,Group 4,BECAD,728
19551,Group 20,AEBDC,465
19552,Group 20,CBEDA,516
19553,Group 15,BDCAE,381
19554,Group 15,EDCBA,717
19555,Group 11,BCEDA,796
19556,Group 4,CABED,934
19557,Group 20,EACDB,215
19558,Group 5,DBECA,310
19559,Group 15,BADCE,417
19560,Group 11,ECBDA,104
19561,Group 13,BCEAD,523
19562,Group 14,ABCDE,304
19563,Group 8,ABEDC,906
19564,Group 8,CBEAD,352
19565,Group 18,CBDAE,454
19566,Group 12,DCAEB,351
19567,Group 12,EDBAC,16
19568,Group 2,ABEDC,956
19569,Group 3,ABCED,225
19570,Group 13,BCEDA,269
19571,Group 20,CBAED,801
19572,Group 2,ADBCE,133
19573,Group 12,ECADB,973
19574,Group 2,EDBAC,575
19575,Group 5,BDACE,394
19576,Group 20,BDAEC,995
19577,Group 5,ADECB,341
19578,Group 7,DBCEA,354
19579,Group 5,DECBA,601
19580,Group 15,CBEDA,630
19581,Group 14,AECBD,201
19582,Group 16,BECDA,691
19583,Group 8,DBCEA,503
19584,Group 7,EDCAB,324
19585,Group 9,AEDBC,516
19586,Group 8,BDAEC,958
19587,Group 4,EADBC,951
19588,Group 20,CBDAE,788
19589,Group 15,ADECB,20
19590,Group 10,CEADB,691
19591,Group 14,DEABC,647
19592,Group 7,EACBD,687
19593,Group 16,CBDAE,112
19594,Group 6,EDACB,150
19595,Group 10,BADCE,142
19596,Group 15,DCEBA,110
19597,Group 10,CBEDA,55
19598,Group 13,BDAEC,110
19599,Group 4,DACEB,726
19600,Group 17,ABCDE,400
19601,Group 8,EBACD,101
19602,Group 9,EBCDA,249
19603,Group 13,CDEAB,527
19604,Group 13,EBCAD,559
19605,Group 3,EBCDA,30
19606,Group 10,BDECA,250
19607,Group 13,BAEDC,238
19608,Group 11,ADECB,601
19609,Group 10,CDAEB,651
19610,Group 5,BAEDC,116
19611,Group 1,EDABC,857
19612,Group 17,ABDCE,187
19613,Group 1,BAEDC,948
19614,Group 9,DCBAE,402
19615,Group 4,DCBEA,812
19616,Group 17,AEDBC,548
19617,Group 1,ECABD,434
19618,Group 16,DACBE,761
19619,Group 12,DCAEB,916
19620,Group 16,BCEAD,912
19621,Group 2,CAEBD,651
19622,Group 1,ABDEC,529
19623,Group 8,BDECA,434
19624,Group 2,CEADB,899
19625,Group 15,DCABE,572
19626,Group 20,ACBED,737
19627,Group 7,BEADC,479
19628,Group 5,AECBD,809
19629,Group 12,EBCAD,462
19630,Group 2,ADCEB,918
19631,Group 3,ABDEC,910
19632,Group 9,ECDAB,868
19633,Group 4,BDAEC,524
19634,Group 20,CDABE,940
19635,Group 2,BACED,70
19636,Group 18,BACDE,943
19637,Group 17,DBCAE,7
19638,Group 15,CDAEB,657
19639,Group 6,AECBD,945
19640,Group 18,CDBEA,855
19641,Group 10,ADCBE,466
19642,Group 9,BAEDC,869
19643,Group 12,AECBD,619
19644,Group 18,DABEC,449
19645,Group 16,EDABC,194
19646,Group 15,CABDE,209
19647,Group 14,ECBAD,684
19648,Group 11,BAEDC,84
19649,Group 3,CBEAD,954
19650,Group 9,DCEBA,950
19651,Group 13,CADEB,624
19652,Group 18,CEBDA,485
19653,Group 16,BDCAE,716
19654,Group 19,DEBAC,964
19655,Group 9,CABDE,567
19656,Group 3,BEDCA,957
19657,Group 16,EABCD,464
19658,Group 14,DCABE,692
19659,Group 10,CABDE,883
19660,Group 1,BACDE,744
19661,Group 10,CBDEA,691
19662,Group 3,ADEBC,880
19663,Group 3,DBAEC,829
19664,Group 18,BEDAC,360
19665,Group 12,BCDEA,752
19666,Group 17,ACBED,509
19667,Group 5,DEBCA,543
19668,Group 14,BDCEA,17
19669,Group 11,DEBCA,707
19670,Group 11,BEACD,739
19671,Group 13,CBDAE,345
19672,Group 15,DECAB,824
19673,Group 15,ECBAD,540
19674,Group 17,ACEBD,686
19675,Group 8,CBEDA,110
19676,Group 13,CADBE,81
19677,Group 6,BECAD,288
19678,Group 11,CDABE,810
19679,Group 19,BCEDA,131
19680,Group 13,BECDA,628
19681,Group 17,BCEAD,461
19682,Group 12,AEBDC,776
19683,Group 20,BAEDC,242
19684,Group 11,CABDE,171
19685,Group 20,CBEAD,904
19686,Group 1,DEABC,106
19687,Group 20,CAEDB,903
19688,Group 17,DBCAE,703
19689,Group 17,DACBE,854
19690,Group 12,EBDAC,859
19691,Group 5,BAEDC,397
19692,Group 2,DCBAE,677
19693,Group 4,CBEDA,458
19694,Group 18,EBCDA,690
19695,Group 9,BEDAC,316
19696,Group 19,ADEBC,670
19697,Group 9,BACDE,630
19698,Group 10,EBDCA,128
19699,Group 15,CDBAE,341
19700,Group 20,ADCEB,980
19701,Group 15,BDCAE,575
19702,Group 12,CBDEA,546
19703,Group 4,AEDCB,790
19704,Group 8,BCAED,237
19705,Group 16,DEBCA,179
19706,Group 17,BAEDC,20
19707,Group 17,CDBAE,944
19708,Group 20,CADEB,167
19709,Group 14,ECBDA,592
19710,Group 4,AECBD,446
19711,Group 8,DBECA,649
19712,Group 8,DAECB,852
19713,Group 15,EDBAC,78
19714,Group 1,EADCB,828
19715,Group 19,DACEB,923
19716,Group 13,DCEAB,301
19717,Group 7,EBDCA,59
19718,Group 2,CBAED,682
19719,Group 12,ECBAD,398
19720,Group 14,BEADC,52
19721,Group 6,CEBAD,214
19722,Group 16,EBCAD,754
19723,Group 6,DCBAE,454
19724,Group 11,BDACE,969
19725,Group 19,BDECA,992
19726,Group 3,EDCAB,738
19727,Group 18,CABED,693
19728,Group 16,EBDAC,162
19729,Group 3,BEDCA,782
19730,Group 13,EACDB,379
19731,Group 6,BCADE,181
19732,Group 8,BEDCA,291
19733,Group 3,ACEDB,629
19734,Group 2,DEBAC,239
19735,Group 20,CDEAB,512
19736,Group 15,DABEC,843
19737,Group 3,ECBAD,551
19738,Group 9,CADBE,898
19739,Group 5,BDECA,294
19740,Group 8,AECDB,315
19741,Group 10,CDABE,778
19742,Group 10,BEDAC,537
19743,Group 7,BDACE,207
19744,Group 16,BACED,220
19745,Group 14,BEDCA,260
19746,Group 9,BECDA,221
19747,Group 14,CDAEB,665
19748,Group 12,DACEB,190
19749,Group 17,EACDB,702
19750,Group 1,EDACB,206
19751,Group 7,EBCDA,983
19752,Group 4,DEBCA,145
19753,Group 3,BEDCA,158
19754,Group 12,BDACE,114
19755,Group 7,CDEAB,997
19756,Group 11,EDBAC,222
19757,Group 1,CABDE,317
19758,Group 20,BDCAE,294
19759,Group 18,ABDCE,500
19760,Group 14,CABED,490
19761,Group 2,DECAB,544
19762,Group 18,EBDAC,958
19763,Group 3,BADEC,11
19764,Group 12,DBACE,616
19765,Group 3,CADBE,60
19766,Group 6,BCADE,501
19767,Group 16,DEBAC,364
19768,Group 4,ABCED,389
19769,Group 9,CADBE,981
19770,Group 18,BECAD,403
19771,Group 14,ECADB,930
19772,Group 16,ADBEC,203
19773,Group 4,CADEB,381
19774,Group 20,CDEAB,799
19775,Group 8,EACBD,604
19776,Group 14,BCADE,410
19777,Group 1,EBCDA,900
19778,Group 15,ECABD,985
19779,Group 18,BDEAC,495
19780,Group 15,ECBDA,349
19781,Group 12,EBACD,940
19782,Group 17,CBEAD,732
19783,Group 18,EDBAC,28
19784,Group 2,CDBEA,620
19785,Group 10,ACEDB,420
19786,Group 16,BEACD,581
19787,Group 8,DABCE,568
19788,Group 18,CEDBA,356
19789,Group 5,DBCEA,350
19790,Group 14,CBDEA,821
19791,Group 9,DACBE,21
19792,Group 3,EABDC,910
19793,Group 20,ECABD,966
19794,Group 19,BCADE,111
19795,Group 14,EDCBA,470
19796,Group 13,BEDAC,614
19797,Group 8,AEBCD,612
19798,Group 17,CDBEA,77
19799,Group 18,BACDE,941
19800,Group 14,EBACD,916
19801,Group 4,DCEBA,398
19802,Group 9,EDCBA,646
19803,Group 4,EBDCA,556
19804,Group 20,DECBA,877
19805,Group 13,EBDAC,438
19806,Group 5,CEADB,988
19807,Group 6,CDBAE,535
19808,Group 4,ACBDE,620
19809,Group 1,DAEBC,328
19810,Group 2,ADEBC,867
19811,Group 1,CEABD,584
19812,Group 19,EBACD,36
19813,Group 3,ADECB,61
19814,Group 18,AEDCB,728
19815,Group 4,BDAEC,507
19816,Group 13,BCDAE,542
19817,Group 7,AEBCD,133
19818,Group 19,BDCAE,530
19819,Group 13,BECDA,266
19820,Group 7,CBADE,737
19821,Group 1,CBADE,907
19822,Group 18,EBCDA,330
19823,Group 4,AEBDC,545
19824,Group 3,CBDAE,805
19825,Group 11,BECAD,664
19826,Group 17,BDCAE,163
19827,Group 18,EBDAC,868
19828,Group 6,BACED,255
19829,Group 1,AECBD,888
19830,Group 13,AEDCB,685
19831,Group 7,DACBE,580
19832,Group 3,ECDAB,204
19833,Group 18,EBDCA,180
19834,Group 9,ECADB,792
19835,Group 3,DECAB,221
19836,Group 16,DBAEC,854
19837,Group 2,CBAED,444
19838,Group 12,BDCEA,792
19839,Group 2,ACBED,437
19840,Group 8,DCBAE,942
19841,Group 10,AECDB,388
19842,Group 8,BCAED,572
19843,Group 20,BEACD,880
19844,Group 2,BECDA,577
19845,Group 12,BADCE,391
19846,Group 19,AEBCD,641
19847,Group 5,CDABE,246
19848,Group 8,CEBDA,586
19849,Group 7,DEBCA,928
19850,Group 15,AEBCD,592
19851,Group 16,CEBAD,716
19852,Group 12,EDBAC,669
19853,Group 19,BACDE,895
19854,Group 20,CDABE,583
19855,Group 4,ECBAD,107
19856,Group 20,BECDA,242
19857,Group 15,CAEDB,335
19858,Group 15,DEBAC,932
19859,Group 14,CAEDB,429
19860,Group 13,CADBE,854
19861,Group 14,BADCE,427
19862,Group 16,ABDCE,613
19863,Group 10,CABED,723
19864,Group 4,BEADC,702
19865,Group 14,CADEB,573
19866,Group 8,ECABD,142
19867,Group 1,CDBAE,406
19868,Group 16,AEDBC,689
19869,Group 8,AECDB,198
19870,Group 13,BADCE,718
19871,Group 13,DECBA,743
19872,Group 6,CDAEB,286
19873,Group 15,EDCAB,425
19874,Group 1,DACBE,169
19875,Group 2,BACDE,168
19876,Group 4,ABEDC,923
19877,Group 11,BCDAE,91
19878,Group 12,ADBEC,83
19879,Group 14,ABCDE,124
19880,Group 8,EBACD,76
19881,Group 10,CDABE,685
19882,Group 13,DEBAC,1
19883,Group 16,ADBCE,187
19884,Group 4,EABDC,695
19885,Group 17,EDBCA,581
19886,Group 16,BCDAE,328
19887,Group 20,BDCAE,129
19888,Group 5,CADEB,804
19889,Group 12,CBADE,625
19890,Group 4,BDECA,745
19891,Group 15,EDCBA,369
19892,Group 18,AEDCB,457
19893,Group 3,CDABE,206
19894,Group 20,ABDCE,541
19895,Group 19,EBACD,949
19896,Group 13,EBDCA,184
19897,Group 9,BADEC,954
19898,Group 2,EADBC,422
19899,Group 9,EDBAC,705
19900,Group 1,BDACE,130
19901,Group 12,DEBAC,524
19902,Group 17,DABEC,515
19903,Group 15,EADCB,911
19904,Group 2,DBCAE,839
19905,Group 6,DEACB,462
19906,Group 17,BEDAC,122
19907,Group 11,DCABE,458
19908,Group 5,DAECB,756
19909,Group 2,ECDAB,504
19910,Group 20,BDECA,427
19911,Group 7,EACBD,956
19912,Group 13,DECAB,450
19913,Group 14,EDACB,940
19914,Group 16,CEDAB,299
19915,Group 18,BCEAD,78
19916,Group 13,ECBAD,747
19917,Group 3,CEADB,621
19918,Group 17,BDCEA,97
19919,Group 16,BCDAE,718
19920,Group 15,DBECA,42
19921,Group 15,BECDA,401
19922,Group 17,AECBD,514
19923,Group 8,ADCBE,661
19924,Group 19,ECDAB,165
19925,Group 3,EABDC,281
19926,Group 1,CBDEA,827
19927,Group 3,DEBAC,188
19928,Group 8,CBAED,662
19929,Group 15,CBADE,25
19930,Group 9,ADECB,84
19931,Group 11,ECADB,874
19932,Group 20,DCEAB,367
19933,Group 7,EACDB,500
19934,Group 8,CABDE,527
19935,Group 1,EDCBA,909
19936,Group 4,ABECD,315
19937,Group 1,BCDAE,21
19938,Group 12,ABECD,397
19939,Group 12,BDAEC,559
19940,Group 19,ACBDE,784
19941,Group 1,CBDAE,865
19942,Group 3,DBEAC,100
19943,Group 9,CEBAD,926
19944,Group 9,EADBC,399
19945,Group 20,BDECA,510
19946,Group 17,ACEBD,582
19947,Group 17,ACDEB,462
19948,Group 4,ADCEB,822
19949,Group 13,ABCDE,859
19950,Group 3,CDEAB,826
19951,Group 6,DAEBC,365
19952,Group 5,DACEB,582
19953,Group 15,BAECD,572
19954,Group 8,DBECA,599
19955,Group 8,ECDAB,539
19956,Group 15,BDAEC,253
19957,Group 5,BDCAE,376
19958,Group 8,DBECA,844
19959,Group 17,ACBED,269
19960,Group 7,DCAEB,197
19961,Group 19,BDECA,57
19962,Group 6,DABCE,433
19963,Group 12,DABEC,510
19964,Group 5,BADEC,628
19965,Group 4,AEBDC,188
19966,Group 16,EACBD,716
19967,Group 18,ADECB,814
19968,Group 19,BCAED,755
19969,Group 15,ABDCE,13
19970,Group 11,DECAB,345
19971,Group 3,BEACD,636
19972,Group 13,ADEBC,620
19973,Group 4,ABDCE,929
19974,Group 6,BCEAD,259
19975,Group 11,ECDAB,243
19976,Group 5,DECBA,235
19977,Group 20,BEDAC,92
19978,Group 16,EADBC,233
19979,Group 14,ABDEC,191
19980,Group 8,BCAED,724
19981,Group 6,ABECD,165
19982,Group 5,EBCDA,901
19983,Group 20,CABDE,906
19984,Group 15,ECDAB,726
19985,Group 4,ABDCE,67
19986,Group 13,DCBEA,951
19987,Group 7,EABCD,158
19988,Group 13,CEABD,122
19989,Group 13,DCAEB,821
19990,Group 19,DCEBA,439
19991,Group 6,CDAEB,112
19992,Group 6,DAEBC,763
19993,Group 3,DECBA,876
19994,Group 13,CEADB,315
19995,Group 1,AECDB,463
19996,Group 5,ABCED,506
19997,Group 17,ADECB,822
19998,Group 1,EDCBA,707
19999,Group 14,ABCDE,882
20000,Group 16,DCBEA,762
20001,Group 1,CEADB,370
20002,Group 15,BECAD,427
20003,Group 2,ADCBE,36
20004,Group 13,BDEAC,535
20005,Group 4,BEDCA,575
20006,Group 10,EDACB,349
20007,Group 8,CBDAE,152
20008,Group 13,BCDEA,22
20009,Group 17,CBDAE,65
20010,Group 15,ABDCE,59
20011,Group 6,ECBAD,975
20012,Group 19,BDAEC,355
20013,Group 15,ADBCE,733
20014,Group 16,DBEAC,16
20015,Group 10,DABCE,406
20016,Group 19,EDCAB,907
20017,Group 14,BDAEC,484
20018,Group 5,BDCEA,174
20019,Group 1,BACED,348
20020,Group 19,DCBAE,743
20021,Group 3,DBACE,741
20022,Group 17,DECAB,263
20023,Group 5,DAECB,321
20024,Group 7,EBCDA,349
20025,Group 6,DCBAE,892
20026,Group 10,BECAD,410
20027,Group 20,CBEDA,472
20028,Group 11,BCADE,673
20029,Group 9,BECAD,461
20030,Group 14,CBAED,821
20031,Group 5,EDCBA,695
20032,Group 16,AEDCB,222
20033,Group 1,BADCE,677
20034,Group 20,EADCB,493
20035,Group 4,ADEBC,610
20036,Group 3,DACBE,589
20037,Group 10,AEDBC,772
20038,Group 1,CBEAD,769
20039,Group 1,ACBDE,302
20040,Group 6,BCDAE,423
20041,Group 16,ABDEC,576
20042,Group 4,CBEDA,652
20043,Group 3,EDBAC,675
20044,Group 8,ADEBC,616
20045,Group 5,BCADE,531
20046,Group 14,BDECA,981
20047,Group 13,EBDCA,790
20048,Group 20,DCAEB,752
20049,Group 4,CAEDB,357
20050,Group 5,DBEAC,395
20051,Group 9,DBCEA,226
20052,Group 8,ADCBE,616
20053,Group 14,CDBEA,599
20054,Group 4,EBDAC,603
20055,Group 16,ABDCE,135
20056,Group 8,CDAEB,456
20057,Group 3,CEBDA,348
20058,Group 7,AEBDC,269
20059,Group 20,CBDAE,123
20060,Group 9,DEACB,308
20061,Group 4,CEADB,259
20062,Group 8,BDACE,772
20063,Group 17,CEADB,803
20064,Group 1,EDACB,189
20065,Group 11,CEABD,34
20066,Group 13,EBDAC,59
20067,Group 4,BECDA,765
20068,Group 13,ECBAD,585
20069,Group 8,CDABE,773
20070,Group 8,BCDAE,902
20071,Group 12,ECBDA,493
20072,Group 6,ADCEB,751
20073,Group 18,ECADB,449
20074,Group 19,BADCE,881
20075,Group 6,EDCAB,358
20076,Group 17,AECBD,642
20077,Group 6,CBEDA,161
20078,Group 7,DBECA,920
20079,Group 17,AECBD,915
20080,Group 1,EDACB,293
20081,Group 18,ACEBD,901
20082,Group 4,CDBEA,675
20083,Group 18,CDBAE,570
20084,Group 3,BAECD,865
20085,Group 2,ECBDA,349
20086,Group 12,DEBAC,659
20087,Group 20,CBDAE,248
20088,Group 11,EDACB,529
20089,Group 9,BACDE,374
20090,Group 13,EDABC,133
20091,Group 15,CABDE,167
20092,Group 10,BACDE,562
20093,Group 16,DEABC,623
20094,Group 2,DAEBC,620
20095,Group 19,AEDBC,422
20096,Group 18,CAEDB,377
20097,Group 20,BEDAC,774
20098,Group 15,DCEAB,418
20099,Group 16,CAEBD,47
20100,Group 20,CEDBA,122
20101,Group 7,CABED,179
20102,Group 10,EBDAC,259
20103,Group 10,ECDBA,443
20104,Group 5,EDBAC,489
20105,Group 17,EBADC,612
20106,Group 10,EBDAC,355
20107,Group 19,BECAD,946
20108,Group 13,ECBDA,357
20109,Group 6,EDBAC,246
20110,Group 7,BEADC,12
20111,Group 11,AEBCD,364
20112,Group 10,DAEBC,667
20113,Group 11,BAECD,799
20114,Group 8,BADEC,141
20115,Group 10,BEDCA,423
20116,Group 3,BEDCA,716
20117,Group 12,ADCBE,885
20118,Group 17,CEABD,829
20119,Group 16,DEACB,580
20120,Group 7,ECDAB,84
20121,Group 4,DAECB,38
20122,Group 15,ABCED,614
20123,Group 12,AEBCD,155
20124,Group 8,CBDEA,522
20125,Group 19,ECDBA,328
20126,Group 18,CBDEA,762
20127,Group 17,DCAEB,799
20128,Group 14,DECBA,450
20129,Group 2,BECAD,448
20130,Group 16,AECBD,337
20131,Group 2,EADBC,921
20132,Group 7,DBEAC,289
20133,Group 19,BDEAC,146
20134,Group 6,EDABC,957
20135,Group 4,ADECB,301
20136,Group 18,AEBCD,498
20137,Group 2,ABEDC,585
20138,Group 18,BEDCA,547
20139,Group 13,BADCE,730
20140,Group 17,ADECB,659
20141,Group 2,CEABD,757
20142,Group 5,BECDA,966
20143,Group 17,EADBC,460
20144,Group 1,DAEBC,271
20145,Group 11,BECAD,919
20146,Group 11,EDCBA,810
20147,Group 12,EACBD,431
20148,Group 3,CADBE,215
20149,Group 20,EBDAC,932
20150,Group 16,BDAEC,818
20151,Group 17,DBAEC,579
20152,Group 8,CBDEA,826
20153,Group 20,CDEBA,633
20154,Group 3,EDCBA,784
20155,Group 18,BCAED,565
20156,Group 6,CAEBD,229
20157,Group 11,BECAD,972
20158,Group 17,ADECB,553
20159,Group 7,BECDA,95
20160,Group 13,CEADB,558
20161,Group 12,CABED,28
20162,Group 15,BCEDA,835
20163,Group 15,DECBA,494
20164,Group 5,EABDC,34
20165,Group 12,DCEAB,359
20166,Group 7,CEADB,195
20167,Group 7,ACDBE,61
20168,Group 14,BDACE,658
20169,Group 16,CDEAB,668
20170,Group 9,ABDCE,684
20171,Group 7,CEABD,574
20172,Group 7,DCBAE,161
20173,Group 13,CBDEA,906
20174,Group 14,CABDE,232
20175,Group 16,ABECD,214
20176,Group 17,BCADE,962
20177,Group 10,CBEAD,784
20178,Group 19,DABCE,428
20179,Group 9,AECDB,311
20180,Group 12,BACED,747
20181,Group 2,EBCDA,45
20182,Group 1,BDACE,735
20183,Group 5,EDACB,584
20184,Group 3,CEBAD,827
20185,Group 20,EADBC,2
20186,Group 14,ADBEC,319
20187,Group 5,BADEC,589
20188,Group 18,CBEAD,862
20189,Group 12,BECDA,769
20190,Group 11,CDEAB,310
20191,Group 2,BCDAE,59
20192,Group 7,DABCE,190
20193,Group 10,BECDA,365
20194,Group 19,ECADB,199
20195,Group 5,CADEB,701
20196,Group 9,CDABE,504
20197,Group 4,CDEBA,325
20198,Group 12,ECBAD,984
20199,Group 15,EBCDA,278
20200,Group 1,CEADB,516
20201,Group 12,EBCDA,196
20202,Group 1,ABEDC,806
20203,Group 1,ADEBC,680
20204,Group 13,CDEAB,782
20205,Group 8,ACBDE,913
20206,Group 13,CEBAD,953
20207,Group 4,AEDCB,423
20208,Group 18,DBAEC,151
20209,Group 3,DEBCA,896
20210,Group 14,EBACD,999
20211,Group 13,CADBE,322
